Generator,Architecture,Weight,Category,IsAdvanced,IsFake,Image_path,Num
Real,coco,coco,coco,0,0,./Real/coco/coco2017/test2017/img000000.jpg,1
Real,coco,coco,coco,0,0,./Real/coco/coco2017/test2017/img000001.jpg,2
Real,coco,coco,coco,0,0,./Real/coco/coco2017/test2017/img000002.jpg,3
Real,coco,coco,coco,0,0,./Real/coco/coco2017/test2017/img000003.jpg,4
Real,coco,coco,coco,0,0,./Real/coco/coco2017/test2017/img000004.jpg,5
Real,coco,coco,coco,0,0,./Real/coco/coco2017/test2017/img000005.jpg,6
Real,coco,coco,coco,0,0,./Real/coco/coco2017/test2017/img000006.jpg,7
Real,coco,coco,coco,0,0,./Real/coco/coco2017/test2017/img000007.jpg,8
Real,coco,coco,coco,0,0,./Real/coco/coco2017/test2017/img000008.jpg,9
Real,coco,coco,coco,0,0,./Real/coco/coco2017/test2017/img000009.jpg,10
Real,coco,coco,coco,0,0,./Real/coco/coco2017/test2017/img000010.jpg,11
Real,coco,coco,coco,0,0,./Real/coco/coco2017/test2017/img000011.jpg,12
Real,coco,coco,coco,0,0,./Real/coco/coco2017/test2017/img000012.jpg,13
Real,coco,coco,coco,0,0,./Real/coco/coco2017/test2017/img000013.jpg,14
Real,coco,coco,coco,0,0,./Real/coco/coco2017/test2017/img000014.jpg,15
Real,coco,coco,coco,0,0,./Real/coco/coco2017/test2017/img000015.jpg,16
Real,coco,coco,coco,0,0,./Real/coco/coco2017/test2017/img000016.jpg,17
Real,coco,coco,coco,0,0,./Real/coco/coco2017/test2017/img000017.jpg,18
Real,coco,coco,coco,0,0,./Real/coco/coco2017/test2017/img000018.jpg,19
Real,coco,coco,coco,0,0,./Real/coco/coco2017/test2017/img000019.jpg,20
Real,coco,coco,coco,0,0,./Real/coco/coco2017/test2017/img000020.jpg,21
Real,coco,coco,coco,0,0,./Real/coco/coco2017/test2017/img000021.jpg,22
Real,coco,coco,coco,0,0,./Real/coco/coco2017/test2017/img000022.jpg,23
Real,coco,coco,coco,0,0,./Real/coco/coco2017/test2017/img000023.jpg,24
Real,coco,coco,coco,0,0,./Real/coco/coco2017/test2017/img000024.jpg,25
Real,coco,coco,coco,0,0,./Real/coco/coco2017/test2017/img000025.jpg,26
Real,coco,coco,coco,0,0,./Real/coco/coco2017/test2017/img000026.jpg,27
Real,coco,coco,coco,0,0,./Real/coco/coco2017/test2017/img000027.jpg,28
Real,coco,coco,coco,0,0,./Real/coco/coco2017/test2017/img000028.jpg,29
Real,coco,coco,coco,0,0,./Real/coco/coco2017/test2017/img000029.jpg,30
Real,coco,coco,coco,0,0,./Real/coco/coco2017/test2017/img000030.jpg,31
Real,coco,coco,coco,0,0,./Real/coco/coco2017/test2017/img000031.jpg,32
Real,coco,coco,coco,0,0,./Real/coco/coco2017/test2017/img000032.jpg,33
Real,coco,coco,coco,0,0,./Real/coco/coco2017/test2017/img000033.jpg,34
Real,coco,coco,coco,0,0,./Real/coco/coco2017/test2017/img000034.jpg,35
Real,coco,coco,coco,0,0,./Real/coco/coco2017/test2017/img000035.jpg,36
Real,coco,coco,coco,0,0,./Real/coco/coco2017/test2017/img000036.jpg,37
Real,coco,coco,coco,0,0,./Real/coco/coco2017/test2017/img000037.jpg,38
Real,coco,coco,coco,0,0,./Real/coco/coco2017/test2017/img000038.jpg,39
Real,coco,coco,coco,0,0,./Real/coco/coco2017/test2017/img000039.jpg,40
Real,coco,coco,coco,0,0,./Real/coco/coco2017/test2017/img000040.jpg,41
Real,coco,coco,coco,0,0,./Real/coco/coco2017/test2017/img000041.jpg,42
Real,coco,coco,coco,0,0,./Real/coco/coco2017/test2017/img000042.jpg,43
